Company Name,Address,City,State,Zip,Primary Contact,Phone,Email,Website
,,,,,,,,
"Canon Solutions America, Inc.",1 Canon Park,Melville,NY,11747.0,Dawn Rouse,631-330-5448,drouse@csa.canon.com,www.csa.canon.com
"Dex Imaging, Inc.",5109 W. Lemon Street,Tampa,FL,33609.0,Robert Luzzi,831-288-8080,rluzzi@deximaging.com,
"The Lioce Group, Inc.",2950 Drake Avenue,Huntsville,AL,35805.0,Bill Berg,256-650-4148,bberg@liocegroup.com,
RJ Young,730A Freeland Station Rd.,Nashville,TN,37228.0,Chris Clark,205-847-5204,chris.clark@rjyoung.com,
"ABS Business Systems, Inc.",260 Industrial Dr Ext.,Oxford,AL,36203.0,Dennis N. Davis,256-546-2679 ext. 207,dennis@absofficesystems.com,
"Boynton Office Systems, Inc.",551 3rd Street,Fairbanks,AK,99701.0,Seth Hampton,907-457-4535,seth@boyntonoffice.com,www.boyntonoffice.com
"Boynton Office Systems, Inc.",650 W. 58th Ave Unit A,Anchorage,AK,99503.0,Seth Hampton,907-457-4535,seth@boyntonoffice.com,www.boyntonoffice.com
"Boynton Office Systems, Inc.",431 N. Franklin Street,Juneau,AK,99801.0,Seth Hampton,907-457-4535,seth@boyntonoffice.com,www.boyntonoffice.com
Arctic Office Products,100 West Fireweed Lane,Anchorage,Alaska,99516.0,Lori McVay & Greg Martin,,lmcvay@arcticoffice.com / gmartin@arcticoffice.com,www.arcticoffice.com
"LAKELAND OFFICE SYSTEMS, L.L.C.",417 S. Schifferdecker Ave.,Joplin,MO,64801.0,David Tyson,417-499-5558,dtyson@lakelandoffice.com,www.lakelandoffice.com
"Canon Solutions America, Inc.",1 Canon Park,Melville,NY,11747.0,Dawn Rouse,631-330-5448,drouse@csa.canon.com,www.csa.canon.com
"Copy World Business Solutions, LLC.",6028 Stoney Brook Rd,Rogers,AR,72758.0,Mike Wolfinbarger,918-252-2199,mike@cpyworld.com,
"Datamax, Inc.",7400 KANIS ROAD,LITTLE ROCK,AR,72204.0,DAVID HOLZHAUER,501-603-3011,dholzhauer@datamax-lr.com,
Marimon Business Systems LLC.,116 WRIGHTS LANE,EL DORADO,AR,71730.0,VICKI STROM,713-856-2000,VStrom@marimoninc.com,
Preferred Office Technologies,319 SOUTH 9TH STREET,FORT SMITH,AR,72901.0,ALAN DICKINSON JR.,479-782-7991,Adickinson@preferred-office.com,
RJ Young,730A Freeland Station Rd.,Nashville,TN,37228.0,Chris Clark,205-847-5204,chris.clark@rjyoung.com,
SumnerOne,2200 SE J STREET STE 22,BENTONVILLE,AR,72712.0,Dan Roeckle,417-831-6400 ext 3511,droeckle@sumnerone.com,
Pacific Office Automation,"4464 Wllow Rd, Suite 103",Pleasonton,California,94588.0,Cory Giddings,925-398-4021,cory.giddings@pacificoffice.com,www.pacificoffice.com
JJR Enterprises Inc.  dba Caltronics Business Systems,10491 Old Placerville Rd. #150,Sacramento,CA,95827.0,Matt Blevins,916-361-5314,blevinsm@caltronics.net,www.caltronics.net
"Canon Solutions America, Inc.",1 Canon Park,Melville,NY,11747.0,Dawn Rouse,631-330-5448,drouse@csa.canon.com,www.csa.canon.com
Ray Morgan Company,3131 Esplanade,Chico,CA,95973.0,Dave Perez,916-577-1665,dperez@raymorgan.com,
DocuProducts,"4535 McGrath Street, Suite A",Ventura,CA,93003.0,Pam Tanner,805-644-8100,ptanner@docuproducts.com,
Scott Technology Group,100 Professional Center Drive,Rohnert Park,CA,94928.0,David Scott,707-236-1328,DSCOTT@SCOTTSOFFICE.COM,
Jones Walbaum Corp dba American Business Machines,821 18th Street,Bakersfield,CA,93301.0,Ryan Jones,661-201-7905,rjones@abm1.com,
The Fruth Group,12340 Stowe Drive,Poway,CA,92064.0,Vicki Rush,760-35-4645,vrush@fruthgroup.com,
Signa Digital Solutions,4863 Shawline St  Suite A,San Diego,CA,92111.0,Shannon Kirby,858-467-7979,Sales@gosigna.com,
COPYFREE TECHNOLOGY INC,601 S SAN GABRIEL BLVD,SAN GABRIEL,CA,91776.0,Queena Wei,626-225-9265,qwei@copyfree.com,
Reprographics Fax Group DBA C3 Office Solutions,1536 E Warner Ave.,Santa Ana,CA,92705.0,Tricia Sanchez,714-689-1700,Tricia@c3tech.com,
SOUTH COAST COPY SYSTEMS,6625 Nancy Ridge Drive,San Diego,CA,92121.0,Kecia Caughey,858-794-9940,kecia@gosccs.com,
LDICA,2545 North Ontario Street,Burbank,CA,91504.0,Doug Vos,818-781-8110,labele@myldi.com,
Young Systems Corporation,13125 Midway Place,Cerritos,CA,90703.0,Donald Lee,562.921.2256,dmoon@nuworldinc.com,
Innovative Document Solutions,"26855 Jefferson Ave,Ste F",Murrieta,CA,92562.0,Kevin Heitritter,951-676-8885,Kevin@idsprintwise.com,
"KBA Document Solutions, LLC","32900 ALVARADO NILES RD, SUITE 100",UNION CITY,CA,94587.0,Todd Moody,510-441-4200,Todd.Moody@kbadocusys.com,
"SEMA, LLC. DBA Cell Business Equipment","4 MASON, Ste. A",IRVINE,CA,92618.0,Kyle Hancock,949-830-1400,Kyle.Hancock@FlexTG.com,
Global Office,2070 Commerce Ave.,Concord,CA,94507.0,Steve Tarpley,877-287-5055,starpley@globalofficeinc.com,
COSNER-NEIPP CORPORATION,109 N. Sanders St.,Ridgecrest,CA,93555.0,Timothy Neipp,760-375-2502,t.neipp@cosner-neipp.com,
"Canon Solutions America, Inc.",1 Canon Park,Melville,NY,11747.0,Dawn Rouse,631-330-5448,drouse@csa.canon.com,www.csa.canon.com
"All Copy Products, Inc.",1635 W 13th Ave,Denver,CO,80204.0,Nicole Curtis,303-785-5879,ncurtis@allcopyproducts.com,
Bratton's Office Equipment Inc.,1303 8th Ave.,Greeley,CO,80631.0,Robert Bratton,970-378-1480,bob@brattonsoffice.com,
Imagenet Consulting,2400 E MAIN STREET STE G,Montrose,CO,81401.0,David North,405-600-1347,DNORTH@IMAGENETCONSULTING.COM,
SOURCE OFFICE PRODUCTS,13350 W 43RD DR,GOLDEN,CO,80403.0,Sam Winfrey,303-951-0341,sam.winfrey@sourceot.com,
"United Reprographic Supply, Inc.",7076 S. Revere Parkway,Centennial,CO,80112.0,Timothy Dowdeswell,303-680-1100,tim@unitedreprographic.com,
Capital Business Systems,4812 McMurry Ave.,Fort Collins,CO,80525.0,James Kreikemeier,970-266-5106,jkreikemeier@capitalmds.com,
Tascosa Office Machines,321 N. Main St.,Roswell,NM,88201.0,Kelly King,573-623-1206,kking@ytom.com,https://tascosaofficemachines.com/
Automated Business Products,11999 E. Caley Ave. STE A,Centennial,CO,80111.0,Hunter Jackson,303-778-0600,hjackson@abpcopy.com,
Dex Imaging,3785 South 500 West,Salt Lake City,UT,84115.0,Robert Luzzi,813-288-8080,rluzzi@deximaging.com,
"Canon Solutions America, Inc.",1 Canon Park,Melville,NY,11747.0,Dawn Rouse,631-330-5448,drouse@csa.canon.com,www.csa.canon.com
Aztec Technologies,35 Philmack Drive,Middletown,CT,6457.0,Cathy Kies,866-677-9844 ext.7243,kiesc@aztectechnologies.com,www.aztectechnologies.com
LESLIE DIGITAL IMAGING dba KOTA Solutions,6 Armstrong Road,Shelton,CT,6484.0,Anna Kleyner,516-348-2267,akleyner@myldi.com,KOTASolutions.com
"Flotech, LLC.","545 Long Wharf Dr., Suite 602",New Haven,CT,6511.0,Kevin Leary,781-800-3608,kevin.leary@flotech.net,
Usherwood,1005 W. Fayette St.,Syracuse,NY,13204.0,Katherine Cullen,800-724-2119,kcullen@usherwood.com,
Automated Business Machines DBA Automated Business Solutions,415 Kilvert St.,Warwick,RI,2886.0,Michael Ardry,800-832-2729,mardry@absne.com,
"Canon Solutions America, Inc.",1 Canon Park,Melville,NY,11747.0,Dawn Rouse,631-330-5448,drouse@csa.canon.com,www.csa.canon.com
Laser Tone Business Systems,1973 Bay Rd.,Milford,DE,19963.0,Sherry Clark,302-335-2510,sherry@laser-tone.net,
"ImageNet Consulting, Inc.",582 NW Mercantile Place,582 NW Mercantile Place,Port Saint Lucie,Florida,34986.0,Richard Johnson,407-227-8190,Rjohnson@imagenet.com
"Canon Solutions America, Inc.","2600 Maitland Center Parkway, Suite 170",Maitland,FL,32751.0,Andrew Clapp,(407) 712-1640,aclapp@csa.canon.com,www.csa.canon.com
Technogroup Inc. d/b/a Accelerated Business Solutions,2991 Center Port Circle,Pompano Beach,FL,33064.0,Loretta Croken,954-580-0700,lcroken@a-bs.com,
ABS Technology Solutions d.b.a. Advanced Business Systems,1236 N Monroe St,Tallahassee,FL,32303.0,Brian Snow,850-222-2308,bsnow@a-b-s.com,
"Copycorp, Inc.",3351 COMMERCE PARKWAY,MIRAMAR,FL,33025.0,FRANK MARIBONA,954-885-002,frank@yesdelta.com,
DEX Imaging,5109 West Lemon Street,Tampa,FL,33609.0,Robert Luzzi,813-288-8080,rluzzi@deximaging.com,
"J. M. TODD, INC.",12670 Mcgregor Blvd.,Ft. Myers,FL,33919.0,JAMES M. TODD,239-454-4445,JTodd@jmtodd.com,
RJ Young Company,"325 John Knox Road, Bldg E",Tallahassee,FL,32303.0,Chris Bethea,850-260-0610,chris.bethea@rjyoung.com,
United Solutions Company,"1585 Summit Lake Drive, Suite 300",Tallahassee,FL,32317.0,Bill Kimbel,850-219-6505,bkimbel@unitedsolutions.coop,
Sissine's Office Systems,6123 Phillips Hwy,Jacksonville,FL,32216.0,Sam Sissine,904-739-0540,sam@sissines.com,
Visual Edge Inc. DBA WBS Technologies,5555 N. Nob Hill Rd.,Sunrise,FL,33351.0,John Bradley,954-493-7422,jbradley@wbsfla.com,
"H.B.M., Inc. d/b/a Harris Business Machines",485 Harrison Ave,Panama City,FL,32401.0,Troy Harris,850-769-2857,Troy.Harris@harrisbusinessmachines.com,
Boring Business Systems Inc.,950 E Main Street,Lakeland,FL,33801.0,Par Sahota,863-686-3167,psahota@boring.com,
Service Plus Office Machines,500 Capital Circle SE,Tallahassee,FL,32301.0,John Davis,850-402-0646,jdavis@serviceplustally.com,https://serviceplustally.com/
"PC Specialists, Inc. dba Technology Integration Group","1003 Bishop Street, Pauahi Tower, Suite 1250",Honolulu,HI,96813.0,Roland Yee,808-524-6652 x 1562,roland.yee@tig.com,www.tig.com
AMI Systems LLC,"1259 Aala St.,  Ste 302",Honolulu,HI,96817.0,Phil Tajiri,(808)847-1544,ptajiri@amisystems.net,amisystems.net
"Canon Solutions America, Inc.",1 Canon Park,Melville,NY,11747.0,Dawn Rouse,631-330-5448,drouse@csa.canon.com,www.csa.canon.com
"BWI, LLC. dba Integrated Business Solutions",99-1046 Iwaena St.,Aiea,HI,96701.0,Dan Hollembaek,808-545-5540,dan@businesssolutionshi.com,
Pacific Office Automation,9941 W Emerald St.,Boise,Idaho,83704.0,Sonny Ogrady,208-801-4150,Sonny.Ogrady@pacificoffice.com,www.pacificoffie.com
"Canon Solutions America, Inc.",1 Canon Park,Melville,NY,11747.0,Dawn Rouse,631-330-5448,drouse@csa.canon.com,www.csa.canon.com
"Copier's Northwest, Inc.",H&H BUSINESS SYSTEMS INC.,SEATTLE,WA,98109.0,Laura Svarcs,206-282-1200,lsvarcs@copiersnw.com,
"Fisher's Document Systems, Inc.",575 E. 42nd St.,Boise,ID,83714.0,Teresa Jorgensen,208-947-3613,tjorgensen@fisherstech.com,
H&H BUSINESS SYSTEMS INC.,5140 E. Seltice Way,Post Falls,ID,83814.0,Yousif Kaddoura,208-773-1691,yousifk@handhsystems.com,
Dex Imaging,3785 South 500 West,Salt Lake City,UT,84115.0,Robert Luzzi,813-288-8080,rluzzi@deximaging.com,
Summit Technology Affiliates / dba Midwest Office Technology,6294 NE 14th Street,Des Moines,IA,50313-1211,Joe Germano,913-894-9600,joe.germano@motsolutions.com,www.motsolutions.com
"Canon Solutions America, Inc.",1 Canon Park,Melville,NY,11747,Dawn Rouse,631-330-5448,drouse@csa.canon.com,www.csa.canon.com
"All Copy Products, Inc.",1635 W 13th Ave,Denver,CO,80204,Nicole Curtis,303-785-5879,ncurtis@allcopyproducts.com,
Capital Business Systems,4812 McMurry Ave.,Fort Collins,CO,80525,James Kreikemeier,970-266-5106,jkreikemeier@capitalmds.com,
"Infomax Office Systems, Inc.",1010 Illinois St.,Des Moines,IA,50314,Greg Bailey,515-244-5203,gbailey@infomaxoffice.com,
Gordon Flesch Company,2675 Research Park Dr.,Madison,WI,53711,Bryant Hays,319-260-4100,canonleads@gflesch.com,
"Loffler Company, Inc.","1101 E. 78th St., Suite 200",Bloomington,MN,55420,John Hastings,952-925-6800,jhastings@loffler.com,
Petter Business Systems,5110 Charter Oak Dr.,Paducah,KY,42001.0,Patrick Ball,270-575-6949,pball@petter-business.com,www.petter-business.com
"Canon Solutions America, Inc.",1 Canon Park,Melville,NY,11747.0,Dawn Rouse,631-330-5448,drouse@csa.canon.com,www.csa.canon.com
"Bluegrass Office Systems, Inc.","667 E. New Circle Rd., Suite 3",Lexington,KY,40505.0,William H. Demarcus,859-293-0435,bdemarcus@boscopiers.com,
Commonwealth Technology,1263 E. New Circle Rd,Lexington,KY,40505.0,Curtis Baker,502-525-3500,cbaker@ctemail.net,
KERR WORKPLACE SOLUTIONS,509 ASSEMBLY DRIVE,ELIZABETHTOWN,KY,42701.0,BRIAN KERR,270-765-6171,bkerr@kerrog.com,
"Canon Solutions America, Inc.",1 Canon Park,Melville,NY,11747.0,Dawn Rouse,631-330-5448,drouse@csa.canon.com,www.csa.canon.com
Advanced Office Systems,11434 Industriplex Blvd,Baton Rouge,LA,70809.0,Matt Pokorney,225-752-7700,mpokorney@advancedoffice.com,
A&E Enterprises of Louisiana LLC DBA ABM Office Solutions,5527 Coliseum Boulevard,Alexandria,LA,71303.0,Dale Rachal,318-443-0435,drachal@abmoffice.net,
"Novatech, Inc.",4106 Charlotte Ave,Nashville,TN,32709.0,Kathy Blanchard,337-210-3380,kathy.blanchard@novatech.net,
RJ Young,730A Freeland Station Rd.,Nashville,TN,37228.0,Chris Clark,205-847-5204,chris.clark@rjyoung.com,
